frame_id,timestamp_ms,status,x1,y1,x2,y2,bbox_width_px,bbox_height_px,conf,detector_source,raw_x_cam,raw_y_cam,raw_z_cam,filtered_x_cam,filtered_y_cam,filtered_z_cam,raw_x_world,raw_y_world,raw_z_world,filtered_x_world,filtered_y_world,filtered_z_world,height_x_cam,height_y_cam,height_z_cam,height_x_world,height_y_world,height_z_world,ground_model_centroid_x_cam,ground_model_centroid_y_cam,ground_model_centroid_z_cam,ground_model_centroid_x_world,ground_model_centroid_y_world,ground_model_centroid_z_world,ground_contact_x_world,ground_contact_y_world,ground_contact_z_world,strict_raw_x_world,strict_raw_y_world,strict_raw_z_world,strict_filtered_x_world,strict_filtered_y_world,strict_filtered_z_world,height_ground_depth_delta_m,height_ground_world_xy_delta_m,used_height_fallback,blur_laplacian_var,brightness_mean,contrast_std,is_blurry,is_low_light,flow_points,flow_quality
0,0,detected,764.00,482.00,1116.00,790.00,352.00,308.00,0.920,blue_hsv_shape,-0.0449,0.2474,3.0369,-0.0449,0.2474,3.0369,2.8694,0.0449,0.3250,2.8694,0.0449,0.3250,-0.0420,0.2014,2.9381,2.7858,0.0420,0.3951,-0.0449,0.2474,3.0369,2.8694,0.0449,0.3250,2.8694,0.0449,0.0000,2.8694,0.0449,0.3250,2.8694,0.0449,0.3250,0.0989,0.0836,0,122.6426,120.2747,74.0968,0,0,0,0.0000
1,33,detected,766.84,482.15,1117.65,791.35,350.81,309.19,0.919,blue_hsv_shape,-0.0398,0.2492,3.0301,-0.0398,0.2492,3.0301,2.8623,0.0398,0.3250,2.8630,0.0402,0.3250,-0.0371,0.2021,2.9265,2.7744,0.0371,0.3973,-0.0398,0.2492,3.0301,2.8623,0.0398,0.3250,2.8623,0.0398,0.0000,2.8623,0.0398,0.3250,2.8630,0.0402,0.3250,0.1036,0.0879,0,123.0395,120.3436,74.2436,0,0,80,0.9803
2,67,detected,771.23,481.46,1121.25,793.45,350.02,311.99,0.918,blue_hsv_shape,-0.0307,0.2521,3.0195,-0.0307,0.2521,3.0195,2.8513,0.0307,0.3250,2.8565,0.0350,0.3250,-0.0285,0.2018,2.9000,2.7489,0.0285,0.4045,-0.0307,0.2521,3.0195,2.8513,0.0307,0.3250,2.8513,0.0307,0.0000,2.8513,0.0307,0.3250,2.8565,0.0350,0.3250,0.1195,0.1024,0,123.4415,120.6193,74.3658,0,0,80,0.9815
3,100,detected,772.83,481.05,1122.55,794.33,349.72,313.27,0.918,blue_hsv_shape,-0.0275,0.2533,3.0150,-0.0275,0.2533,3.0150,2.8467,0.0275,0.3250,2.8507,0.0305,0.3250,-0.0254,0.2014,2.8879,2.7374,0.0254,0.4080,-0.0275,0.2533,3.0150,2.8467,0.0275,0.3250,2.8467,0.0275,0.0000,2.8467,0.0275,0.3250,2.8507,0.0305,0.3250,0.1271,0.1093,0,123.3618,120.6203,74.3673,0,0,80,1.0000
4,133,detected,775.77,480.91,1124.25,795.84,348.48,314.93,0.917,blue_hsv_shape,-0.0222,0.2553,3.0074,-0.0222,0.2553,3.0074,2.8389,0.0222,0.3250,2.8432,0.0251,0.3250,-0.0205,0.2018,2.8725,2.7224,0.0205,0.4117,-0.0222,0.2553,3.0074,2.8389,0.0222,0.3250,2.8389,0.0222,0.0000,2.8389,0.0222,0.3250,2.8432,0.0251,0.3250,0.1350,0.1165,0,124.6767,120.8517,74.3960,0,0,80,0.9806
5,167,detected,778.26,480.86,1127.17,797.64,348.90,316.78,0.915,blue_hsv_shape,-0.0162,0.2577,2.9984,-0.0162,0.2577,2.9984,2.8296,0.0162,0.3250,2.8343,0.0190,0.3250,-0.0149,0.2023,2.8554,2.7057,0.0149,0.4155,-0.0162,0.2577,2.9984,2.8296,0.0162,0.3250,2.8296,0.0162,0.0000,2.8296,0.0162,0.3250,2.8343,0.0190,0.3250,0.1430,0.1238,0,125.9661,121.1849,74.4683,0,0,80,0.9819
6,200,detected,781.60,480.86,1131.81,799.59,350.20,318.72,0.915,blue_hsv_shape,-0.0073,0.2603,2.9888,-0.0073,0.2603,2.9888,2.8196,0.0073,0.3250,2.8244,0.0114,0.3250,-0.0067,0.2031,2.8377,2.6884,0.0067,0.4194,-0.0073,0.2603,2.9888,2.8196,0.0073,0.3250,2.8196,0.0073,0.0000,2.8196,0.0073,0.3250,2.8244,0.0114,0.3250,0.1511,0.1311,0,125.7331,121.4235,74.4238,0,0,80,0.9799
7,234,detected,785.78,480.89,1135.40,801.60,349.62,320.71,0.913,blue_hsv_shape,0.0013,0.2630,2.9788,0.0013,0.2630,2.9788,2.8092,-0.0013,0.3250,2.8141,0.0031,0.3250,0.0012,0.2038,2.8196,2.6708,-0.0012,0.4233,0.0013,0.2630,2.9788,2.8092,-0.0013,0.3250,2.8092,-0.0013,0.0000,2.8092,-0.0013,0.3250,2.8141,0.0031,0.3250,0.1592,0.1384,0,125.8941,121.3849,74.0145,0,0,80,0.9806
8,267,detected,787.93,480.86,1137.18,802.67,349.25,321.81,0.913,blue_hsv_shape,0.0056,0.2644,2.9736,0.0056,0.2644,2.9736,2.8038,-0.0056,0.3250,2.8054,-0.0038,0.3250,0.0051,0.2042,2.8098,2.6612,-0.0051,0.4256,0.0056,0.2644,2.9736,2.8038,-0.0056,0.3250,2.8038,-0.0056,0.0000,2.8038,-0.0056,0.3250,2.8054,-0.0038,0.3250,0.1637,0.1426,0,125.8374,121.3856,74.0138,0,0,80,1.0000
9,300,detected,790.31,480.88,1137.97,804.12,347.66,323.24,0.913,blue_hsv_shape,0.0091,0.2663,2.9664,0.0091,0.2663,2.9664,2.7964,-0.0091,0.3250,2.7972,-0.0095,0.3250,0.0083,0.2047,2.7971,2.6488,-0.0083,0.4283,0.0091,0.2663,2.9664,2.7964,-0.0091,0.3250,2.7964,-0.0091,0.0000,2.7964,-0.0091,0.3250,2.7972,-0.0095,0.3250,0.1693,0.1476,0,125.7129,121.2597,73.9394,0,0,80,0.9793
