frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
0,0,764.00,482.00,1116.00,790.00,detected,STATIONARY,0,blue_hsv_shape,-0.0259,0.0581,1.6169,1.2911,0.0259,0.3250,0.920,1.2911,0.0259,0.3250,1.2911,0.0259,0.3250,0.2828,0.2828,0.2236,1.000,
1,33,766.84,482.15,1117.65,791.35,detected,STATIONARY,0,blue_hsv_shape,-0.0230,0.0595,1.6149,1.2889,0.0233,0.3250,0.919,1.2887,0.0230,0.3250,1.2889,0.0233,0.3250,0.0871,0.0871,0.0847,0.992,0.0003
2,67,771.23,481.46,1121.25,793.45,detected,STATIONARY,0,blue_hsv_shape,-0.0178,0.0617,1.6117,1.2867,0.0202,0.3250,0.918,1.2848,0.0178,0.3250,1.2867,0.0202,0.3250,0.0678,0.0678,0.0651,0.918,0.0029
3,100,772.83,481.05,1122.55,794.33,detected,STATIONARY,0,blue_hsv_shape,-0.0159,0.0626,1.6104,1.2846,0.0177,0.3250,0.918,1.2832,0.0159,0.3250,1.2846,0.0177,0.3250,0.0652,0.0652,0.0605,0.850,0.0006
4,133,775.77,480.91,1124.25,795.84,detected,STATIONARY,0,blue_hsv_shape,-0.0129,0.0642,1.6082,1.2820,0.0146,0.3250,0.917,1.2805,0.0129,0.3250,1.2820,0.0146,0.3250,0.0650,0.0650,0.0600,0.785,0.0011
5,167,778.26,480.86,1127.17,797.64,detected,STATIONARY,0,blue_hsv_shape,-0.0094,0.0661,1.6055,1.2789,0.0111,0.3250,0.915,1.2772,0.0094,0.3250,1.2789,0.0111,0.3250,0.0638,0.0638,0.0598,0.730,0.0014
6,200,781.60,480.86,1131.81,799.59,detected,CONFIRMED,0,blue_hsv_shape,-0.0042,0.0681,1.6026,1.2754,0.0066,0.3250,0.915,1.2737,0.0042,0.3250,1.2754,0.0066,0.3250,0.0618,0.0618,0.0589,0.678,0.0027
7,234,785.78,480.89,1135.40,801.60,detected,CONFIRMED,0,blue_hsv_shape,0.0008,0.0702,1.5996,1.2718,0.0018,0.3250,0.913,1.2701,-0.0008,0.3250,1.2718,0.0018,0.3250,0.0595,0.0595,0.0574,0.635,0.0025
8,267,787.93,480.86,1137.18,802.67,detected,CONFIRMED,0,blue_hsv_shape,0.0033,0.0713,1.5981,1.2688,-0.0022,0.3250,0.913,1.2682,-0.0033,0.3250,1.2688,-0.0022,0.3250,0.0572,0.0572,0.0557,0.622,0.0000
9,300,790.31,480.88,1137.97,804.12,detected,CONFIRMED,0,blue_hsv_shape,0.0053,0.0728,1.5959,1.2658,-0.0055,0.3250,0.913,1.2656,-0.0053,0.3250,1.2658,-0.0055,0.3250,0.0550,0.0550,0.0539,0.622,0.0002
10,334,792.69,480.92,1142.01,805.82,detected,CONFIRMED,0,blue_hsv_shape,0.0094,0.0745,1.5934,1.2629,-0.0091,0.3250,0.911,1.2625,-0.0094,0.3250,1.2629,-0.0091,0.3250,0.0530,0.0530,0.0522,0.619,0.0001
11,367,793.73,480.99,1144.24,808.17,detected,CONFIRMED,0,blue_hsv_shape,0.0115,0.0769,1.5900,1.2595,-0.0122,0.3250,0.911,1.2583,-0.0115,0.3250,1.2595,-0.0122,0.3250,0.0512,0.0512,0.0506,0.618,0.0010
12,400,793.73,481.03,1148.66,810.45,detected,CONFIRMED,0,blue_hsv_shape,0.0143,0.0793,1.5866,1.2559,-0.0153,0.3250,0.912,1.2542,-0.0143,0.3250,1.2559,-0.0153,0.3250,0.0496,0.0496,0.0491,0.616,0.0009
13,434,793.28,480.98,1151.18,811.69,detected,CONFIRMED,0,blue_hsv_shape,0.0156,0.0805,1.5848,1.2527,-0.0178,0.3250,0.912,1.2520,-0.0156,0.3250,1.2527,-0.0178,0.3250,0.0481,0.0481,0.0477,0.620,0.0013
14,467,792.70,481.01,1152.45,813.70,detected,CONFIRMED,0,blue_hsv_shape,0.0160,0.0826,1.5819,1.2494,-0.0198,0.3250,0.911,1.2485,-0.0160,0.3250,1.2494,-0.0198,0.3250,0.0468,0.0468,0.0465,0.628,0.0034
15,500,791.37,481.02,1155.76,815.74,detected,CONFIRMED,0,blue_hsv_shape,0.0173,0.0847,1.5789,1.2460,-0.0215,0.3250,0.911,1.2448,-0.0173,0.3250,1.2460,-0.0215,0.3250,0.0457,0.0457,0.0454,0.635,0.0029
16,534,790.30,481.06,1157.63,818.28,detected,CONFIRMED,0,blue_hsv_shape,0.0177,0.0872,1.5753,1.2423,-0.0228,0.3250,0.912,1.2404,-0.0177,0.3250,1.2423,-0.0228,0.3250,0.0447,0.0447,0.0445,0.641,0.0051
17,567,788.14,481.10,1159.41,821.12,detected,CONFIRMED,0,blue_hsv_shape,0.0175,0.0901,1.5712,1.2383,-0.0238,0.3250,0.912,1.2354,-0.0175,0.3250,1.2383,-0.0238,0.3250,0.0438,0.0438,0.0436,0.646,0.0083
18,601,786.70,481.03,1160.32,822.69,detected,CONFIRMED,0,blue_hsv_shape,0.0171,0.0917,1.5689,1.2345,-0.0243,0.3250,0.912,1.2326,-0.0171,0.3250,1.2345,-0.0243,0.3250,0.0430,0.0430,0.0429,0.653,0.0075
19,634,785.41,481.02,1161.61,824.87,detected,CONFIRMED,0,blue_hsv_shape,0.0171,0.0939,1.5658,1.2307,-0.0246,0.3250,0.913,1.2288,-0.0171,0.3250,1.2307,-0.0246,0.3250,0.0423,0.0423,0.0422,0.659,0.0076
20,667,783.67,480.95,1162.17,826.01,detected,CONFIRMED,0,blue_hsv_shape,0.0163,0.0950,1.5642,1.2272,-0.0246,0.3250,0.914,1.2268,-0.0163,0.3250,1.2272,-0.0246,0.3250,0.0418,0.0418,0.0417,0.668,0.0093
21,701,782.80,480.96,1164.30,827.94,detected,CONFIRMED,0,blue_hsv_shape,0.0171,0.0969,1.5615,1.2238,-0.0246,0.3250,0.915,1.2235,-0.0171,0.3250,1.2238,-0.0246,0.3250,0.0413,0.0413,0.0412,0.675,0.0054
22,734,781.41,480.84,1166.42,827.97,detected,CONFIRMED,0,blue_hsv_shape,0.0176,0.0970,1.5614,1.2210,-0.0246,0.3250,0.913,1.2234,-0.0176,0.3250,1.2210,-0.0246,0.3250,0.0409,0.0409,0.0408,0.687,0.0080
