frame_id,timestamp_ms,x_world_raw_strict,y_world_raw_strict,x_world_filtered_strict,y_world_filtered_strict,x_world_raw_waypoint_calibrated,y_world_raw_waypoint_calibrated,x_world_filtered_waypoint_calibrated,y_world_filtered_waypoint_calibrated,z_world
0,0,2.8694,0.0449,2.8694,0.0449,6.6521,0.1804,6.6521,0.1804,0.3250
1,33,2.8623,0.0398,2.8630,0.0402,6.6346,0.1850,6.6362,0.1846,0.3250
2,67,2.8513,0.0307,2.8565,0.0350,6.6091,0.1941,6.6212,0.1899,0.3250
3,100,2.8467,0.0275,2.8507,0.0305,6.5978,0.1970,6.6074,0.1941,0.3250
4,133,2.8389,0.0222,2.8432,0.0251,6.5776,0.2012,6.5888,0.1988,0.3250
5,167,2.8296,0.0162,2.8343,0.0190,6.5535,0.2059,6.5660,0.2039,0.3250
6,200,2.8196,0.0073,2.8244,0.0114,6.5315,0.2155,6.5424,0.2112,0.3250
7,234,2.8092,-0.0013,2.8141,0.0031,6.5078,0.2242,6.5181,0.2193,0.3250
8,267,2.8038,-0.0056,2.8054,-0.0038,6.4950,0.2285,6.4979,0.2262,0.3250
9,300,2.7964,-0.0091,2.7972,-0.0095,6.4739,0.2297,6.4773,0.2311,0.3250
10,334,2.7878,-0.0161,2.7888,-0.0157,6.4538,0.2367,6.4567,0.2366,0.3250
11,367,2.7760,-0.0196,2.7794,-0.0210,6.4167,0.2349,6.4310,0.2399,0.3250
12,400,2.7646,-0.0244,2.7693,-0.0262,6.3831,0.2356,6.4027,0.2423,0.3250
13,434,2.7585,-0.0266,2.7602,-0.0305,6.3643,0.2354,6.3767,0.2439,0.3250
14,467,2.7485,-0.0272,2.7509,-0.0338,6.3294,0.2295,6.3482,0.2435,0.3250
15,500,2.7385,-0.0293,2.7413,-0.0367,6.2964,0.2262,6.3183,0.2421,0.3250
16,534,2.7262,-0.0301,2.7311,-0.0389,6.2528,0.2187,6.2848,0.2390,0.3250
17,567,2.7124,-0.0295,2.7200,-0.0405,6.2021,0.2078,6.2470,0.2339,0.3250
18,601,2.7048,-0.0289,2.7095,-0.0413,6.1738,0.2012,6.2106,0.2281,0.3250
19,634,2.6944,-0.0288,2.6990,-0.0418,6.1359,0.1935,6.1733,0.2214,0.3250
20,667,2.6890,-0.0275,2.6895,-0.0418,6.1142,0.1872,6.1387,0.2145,0.3250
21,701,2.6799,-0.0287,2.6800,-0.0417,6.0832,0.1830,6.1045,0.2076,0.3250
22,734,2.6797,-0.0295,2.6724,-0.0417,6.0838,0.1844,6.0768,0.2020,0.3250
23,767,2.6807,-0.0299,2.6666,-0.0415,6.0881,0.1859,6.0556,0.1975,0.3250
24,801,2.6776,-0.0301,2.6616,-0.0412,6.0772,0.1839,6.0368,0.1933,0.3250
25,834,2.6672,-0.0300,2.6558,-0.0407,6.0392,0.1763,6.0151,0.1883,0.3250
26,868,2.6544,-0.0298,2.6489,-0.0401,5.9928,0.1668,5.9891,0.1823,0.3250
27,901,2.6202,-0.0284,2.6369,-0.0392,5.8664,0.1394,5.9442,0.1719,0.3250
28,934,2.5995,-0.0274,2.6230,-0.0381,5.7903,0.1229,5.8921,0.1598,0.3250
29,968,2.6389,-0.0285,2.6186,-0.0372,5.9342,0.1531,5.8748,0.1549,0.3250
30,1001,2.6573,-0.0280,2.6188,-0.0362,6.0001,0.1653,5.8740,0.1532,0.3250
31,1034,2.6604,-0.0276,2.6203,-0.0351,6.0107,0.1669,5.8777,0.1523,0.3250
32,1068,2.6552,-0.0262,2.6213,-0.0339,5.9899,0.1606,5.8793,0.1507,0.3250
33,1101,2.6516,-0.0255,2.6221,-0.0326,5.9755,0.1565,5.8801,0.1488,0.3250
34,1134,2.6424,-0.0228,2.6215,-0.0309,5.9382,0.1450,5.8755,0.1453,0.3250
35,1168,2.6300,-0.0202,2.6192,-0.0289,5.8889,0.1311,5.8639,0.1398,0.3250
36,1201,2.6157,-0.0165,2.6149,-0.0264,5.8315,0.1140,5.8443,0.1321,0.3250
37,1235,2.5985,-0.0134,2.6082,-0.0237,5.7643,0.0958,5.8156,0.1220,0.3250
38,1268,2.5884,-0.0118,2.6007,-0.0209,5.7252,0.0854,5.7840,0.1114,0.3250
39,1301,2.5767,-0.0100,2.5921,-0.0181,5.6799,0.0737,5.7487,0.1001,0.3250
40,1335,2.5662,-0.0091,2.5829,-0.0156,5.6404,0.0645,5.7113,0.0886,0.3250
41,1368,2.5205,-0.0098,2.5666,-0.0135,5.4762,0.0330,5.6489,0.0730,0.3250
42,1401,2.4975,-0.0105,2.5482,-0.0118,5.3941,0.0177,5.5795,0.0567,0.3250
43,1435,2.4853,-0.0110,2.5299,-0.0106,5.3504,0.0098,5.5114,0.0412,0.3250
44,1468,2.4778,-0.0155,2.5128,-0.0104,5.3308,0.0131,5.4492,0.0285,0.3250
45,1502,2.4508,-0.0202,2.4932,-0.0112,5.2405,0.0025,5.3794,0.0160,0.3250
46,1535,2.4358,-0.0228,2.4736,-0.0126,5.1904,-0.0033,5.3107,0.0045,0.3250
47,1568,2.4366,-0.0242,2.4571,-0.0141,5.1956,-0.0000,5.2534,-0.0045,0.3250
48,1602,2.4392,-0.0248,2.4438,-0.0157,5.2057,0.0029,5.2077,-0.0111,0.3250
49,1635,2.4424,-0.0291,2.4334,-0.0179,5.2242,0.0133,5.1739,-0.0142,0.3250
50,1668,2.4516,-0.0336,2.4269,-0.0208,5.2645,0.0283,5.1550,-0.0135,0.3250
