out_frame,src_frame,loop,brightness_gain,brightness_bias,noise_sigma,gaussian_blur,motion_blur,shake_dx,shake_dy,target_occluders,distractor_people,blue_distractors,protected_waypoint_window
0,0,0,0.9971,2.66,5.98,0,0,0.00,0.00,0,0,0,0
1,1,0,1.0027,3.12,5.98,0,0,0.00,0.00,0,0,0,0
2,2,0,1.0066,2.54,5.98,0,0,0.00,0.00,0,0,0,0
3,3,0,1.0008,2.61,5.98,0,0,0.00,0.00,0,0,0,0
4,4,0,0.9991,3.94,5.98,0,0,0.00,0.00,0,0,0,0
5,5,0,1.0032,3.35,5.98,0,0,0.00,0.00,0,0,0,0
6,6,0,1.0072,2.79,5.98,0,0,0.00,0.00,0,0,0,0
7,7,0,1.0047,3.17,5.98,0,0,0.00,0.00,0,0,0,0
8,8,0,1.0038,2.71,5.98,0,0,0.00,0.00,0,0,0,0
9,9,0,1.0055,3.02,5.98,0,0,0.00,0.00,0,0,0,0
10,10,0,1.0014,3.65,5.98,0,0,0.00,0.00,0,0,0,0
11,11,0,1.0006,3.16,5.98,0,0,0.00,0.00,0,0,0,0
12,12,0,1.0064,3.62,5.98,0,0,0.00,0.00,0,0,0,0
13,13,0,1.0100,2.16,5.98,0,0,0.00,0.00,0,0,0,0
14,14,0,1.0138,3.60,5.98,0,0,0.00,0.00,0,0,0,0
15,15,0,1.0114,2.84,5.98,0,0,0.00,0.00,0,0,0,0
16,16,0,1.0141,3.24,5.98,0,0,0.00,0.00,0,0,0,0
17,17,0,1.0073,2.84,5.98,0,0,0.00,0.00,0,0,0,0
18,18,0,1.0096,2.99,5.98,0,0,0.00,0.00,0,0,0,0
19,19,0,1.0142,2.84,5.98,0,0,0.00,0.00,0,0,0,0
20,20,0,1.0186,3.96,5.98,0,0,0.00,0.00,0,0,0,0
21,21,0,1.0190,2.45,5.98,0,0,0.00,0.00,0,0,0,0
22,22,0,1.0132,3.02,5.98,0,0,0.00,0.00,0,0,0,0
23,23,0,1.0129,3.00,5.98,0,0,0.00,0.00,0,0,0,0
24,24,0,1.0095,2.33,5.98,0,0,0.00,0.00,0,0,0,0
25,25,0,1.0088,2.99,5.98,0,0,0.00,0.00,0,0,0,0
26,26,0,1.0189,3.02,5.98,0,0,0.00,0.00,0,0,0,0
27,27,0,1.0263,2.28,5.98,0,0,0.00,0.00,0,0,0,0
28,28,0,1.0108,3.06,5.98,0,0,0.00,0.00,0,0,0,0
29,29,0,1.0215,2.89,5.98,0,0,0.00,0.00,0,0,0,0
30,30,0,1.0211,3.11,5.98,0,0,0.00,0.00,0,0,0,0
31,31,0,1.0252,2.97,5.98,0,0,0.00,0.00,0,0,0,0
32,32,0,1.0185,2.82,5.98,0,0,0.00,0.00,0,0,0,0
33,33,0,1.0183,3.62,5.98,0,0,0.00,0.00,0,0,0,0
34,34,0,1.0171,2.48,5.98,0,0,0.00,0.00,0,0,0,0
35,35,0,1.0199,2.44,5.98,0,0,0.00,0.00,0,0,0,0
36,36,0,1.0257,2.29,5.98,0,0,0.00,0.00,0,0,0,0
37,37,0,1.0117,2.21,4.00,0,0,0.00,0.00,0,0,0,1
38,38,0,1.0196,1.20,4.00,0,0,0.00,0.00,0,0,0,1
39,39,0,1.0156,2.21,4.00,0,0,0.00,0.00,0,0,0,1
40,40,0,1.0182,1.49,4.00,0,0,0.00,0.00,0,0,0,1
41,41,0,1.0169,1.89,4.00,0,0,0.00,0.00,0,0,0,1
42,42,0,1.0144,1.49,4.00,0,0,0.00,0.00,0,0,0,1
43,43,0,1.0177,1.78,4.00,0,0,0.00,0.00,0,0,0,1
44,44,0,1.0213,1.44,4.00,0,0,0.00,0.00,0,0,0,1
45,45,0,1.0222,1.79,4.00,0,0,0.00,0.00,0,0,0,1
46,46,0,1.0157,2.19,4.00,0,0,0.00,0.00,0,0,0,1
47,47,0,1.0166,2.23,4.00,0,0,0.00,0.00,0,0,0,1
48,48,0,1.0164,1.84,4.00,0,0,0.00,0.00,0,0,0,1
49,49,0,1.0204,1.84,4.00,0,0,0.00,0.00,0,0,0,1
50,50,0,1.0199,1.28,4.00,0,0,0.00,0.00,0,0,0,1
51,51,0,1.0165,1.12,4.00,0,0,0.00,0.00,0,0,0,1
52,52,0,1.0244,1.63,4.00,0,0,0.00,0.00,0,0,0,1
53,53,0,1.0126,1.23,4.00,0,0,0.00,0.00,0,0,0,1
54,54,0,1.0318,2.36,5.98,0,0,0.00,0.00,0,0,0,0
55,55,0,1.0268,1.57,5.98,0,0,0.00,0.00,0,0,0,0
56,56,0,1.0318,1.41,5.98,0,0,0.00,0.00,0,0,0,0
57,57,0,1.0231,2.34,5.98,0,0,0.00,0.00,0,0,0,0
58,58,0,1.0341,2.05,5.98,0,0,0.00,0.00,0,0,0,0
59,59,0,1.0244,1.82,5.98,0,0,0.00,0.00,0,0,0,0
60,60,0,1.0287,1.80,5.98,0,0,0.00,0.00,0,0,0,0
61,61,0,1.0268,1.85,5.98,0,0,0.00,0.00,0,0,0,0
62,62,0,1.0298,1.63,5.98,0,0,0.00,0.00,0,0,0,0
63,63,0,1.0276,1.85,5.98,0,0,0.00,0.00,0,0,0,0
64,64,0,1.0260,2.15,5.98,0,0,0.00,0.00,0,0,0,0
65,65,0,1.0259,0.90,5.98,0,0,0.00,0.00,0,0,0,0
66,66,0,1.0383,1.76,5.98,0,0,0.00,0.00,0,0,0,0
67,67,0,1.0262,1.40,5.98,0,0,0.00,0.00,0,0,0,0
68,68,0,1.0275,1.61,5.98,0,0,0.00,0.00,0,0,0,0
69,69,0,1.0321,1.53,5.98,0,0,0.00,0.00,0,0,0,0
70,70,0,1.0321,0.86,5.98,0,0,0.00,0.00,0,0,0,0
71,71,0,1.0282,1.68,5.98,0,0,0.00,0.00,0,0,0,0
72,72,0,1.0266,1.40,5.98,0,0,0.00,0.00,0,0,0,0
73,73,0,1.0317,1.31,5.98,0,0,0.00,0.00,0,0,0,0
74,74,0,1.0290,0.16,5.98,0,0,0.00,0.00,0,0,0,0
75,75,0,1.0305,1.37,5.98,0,0,0.00,0.00,0,0,0,0
76,76,0,1.0255,2.10,5.98,0,0,0.00,0.00,0,0,0,0
77,77,0,1.0248,0.62,5.98,0,0,0.00,0.00,0,0,0,0
78,78,0,1.0227,1.43,5.98,0,0,0.00,0.00,0,0,0,0
79,79,0,1.0247,1.21,5.98,0,0,0.00,0.00,0,0,0,0
80,80,0,1.0242,1.83,5.98,0,0,0.00,0.00,0,0,0,0
81,81,0,1.0298,1.49,5.98,0,0,0.00,0.00,0,0,0,0
82,82,0,1.0230,2.01,5.98,0,0,0.00,0.00,0,0,0,0
83,83,0,1.0218,0.99,5.98,0,0,0.00,0.00,0,0,0,0
84,84,0,1.0254,1.05,5.98,0,0,0.00,0.00,0,0,0,0
85,85,0,1.0141,0.59,5.98,0,0,0.00,0.00,0,0,0,0
86,86,0,1.0149,1.61,5.98,0,0,0.00,0.00,0,0,0,0
87,87,0,1.0203,1.58,5.98,0,0,0.00,0.00,0,0,0,0
88,88,0,1.0183,0.07,5.98,0,0,0.00,0.00,0,0,0,0
89,89,0,1.0289,1.74,5.98,0,0,0.00,0.00,0,0,0,0
90,90,0,1.0149,1.97,5.98,0,0,0.00,0.00,0,0,0,0
91,91,0,1.0134,0.57,5.98,0,0,0.00,0.00,0,0,0,0
92,92,0,1.0173,0.81,5.98,0,0,0.00,0.00,0,0,0,0
93,93,0,1.0182,0.65,5.98,0,0,0.00,0.00,0,0,0,0
94,94,0,1.0243,0.76,5.98,0,0,0.00,0.00,0,0,0,0
95,95,0,1.0096,-0.02,5.98,0,0,0.00,0.00,0,0,0,0
96,96,0,1.0110,1.02,5.98,0,0,0.00,0.00,0,0,0,0
97,97,0,1.0111,0.52,5.98,0,0,0.00,0.00,0,0,0,0
98,98,0,1.0082,0.69,5.98,0,0,0.00,0.00,0,0,0,0
99,99,0,1.0183,0.54,5.98,0,0,0.00,0.00,0,0,0,0
100,100,0,1.0167,0.76,5.98,0,0,0.00,0.00,0,0,0,0
101,101,0,1.0110,1.69,5.98,0,0,0.00,0.00,0,0,0,0
102,102,0,1.0126,-0.10,5.98,0,0,0.00,0.00,0,0,0,0
103,103,0,1.0127,1.02,5.98,0,0,0.00,0.00,0,0,0,0
104,104,0,1.0162,0.34,5.98,0,0,0.00,0.00,0,0,0,0
105,105,0,1.0084,-0.81,5.98,0,0,0.00,0.00,0,0,0,0
106,106,0,1.0023,1.07,5.98,0,0,0.00,0.00,0,0,0,0
107,107,0,1.0134,-0.10,5.98,0,0,0.00,0.00,0,0,0,0
108,108,0,1.0003,0.37,5.98,0,0,0.00,0.00,0,0,0,0
109,109,0,1.0129,0.01,5.98,0,0,0.00,0.00,0,0,0,0
110,110,0,1.0141,0.38,5.98,0,0,0.00,0.00,0,0,0,0
111,111,0,1.0010,-1.07,5.98,0,0,0.00,0.00,0,0,0,0
112,112,0,1.0027,0.80,5.98,0,0,0.00,0.00,0,0,0,0
113,113,0,1.0039,-0.09,5.98,0,0,0.00,0.00,0,0,0,0
114,114,0,1.0120,0.08,5.98,0,0,0.00,0.00,0,0,0,0
115,115,0,1.0030,-0.51,5.98,0,0,0.00,0.00,0,0,0,0
116,116,0,1.0041,-0.48,5.98,0,0,0.00,0.00,0,0,0,0
117,117,0,0.9996,0.86,5.98,0,0,0.00,0.00,0,0,0,0
118,118,0,1.0018,-0.16,5.98,0,0,0.00,0.00,0,0,0,0
119,119,0,1.0035,-0.38,5.98,0,0,0.00,0.00,0,0,0,0
120,120,0,0.9987,0.11,5.98,0,0,0.00,0.00,0,0,0,0
121,121,0,0.9969,0.27,5.98,0,0,0.00,0.00,0,0,0,0
122,122,0,0.9947,-0.13,5.98,0,0,0.00,0.00,0,0,0,0
123,123,0,0.9970,-0.29,5.98,0,0,0.00,0.00,0,0,0,0
124,124,0,0.9985,-0.82,5.98,0,0,0.00,0.00,0,0,0,0
125,125,0,0.9934,-0.40,5.98,0,0,0.00,0.00,0,0,0,0
126,126,0,0.9910,-0.08,5.98,0,0,0.00,0.00,0,0,0,0
127,127,0,0.9858,0.06,5.98,0,0,0.00,0.00,0,0,0,0
128,128,0,0.9918,-1.46,5.98,0,0,0.00,0.00,0,0,0,0
129,129,0,0.9930,-1.94,5.98,0,0,0.00,0.00,0,0,0,0
130,130,0,0.9911,-1.08,5.98,0,0,0.00,0.00,0,0,0,0
131,131,0,0.9877,-0.06,5.98,0,0,0.00,0.00,0,0,0,0
132,132,0,0.9901,-1.19,5.98,0,0,0.00,0.00,0,0,0,0
133,133,0,0.9863,-0.19,5.98,0,0,0.00,0.00,0,0,0,0
134,134,0,0.9867,-0.82,5.98,0,0,0.00,0.00,0,0,0,0
135,135,0,0.9827,-1.24,5.98,0,0,0.00,0.00,0,0,0,0
136,136,0,0.9799,-0.79,5.98,0,0,0.00,0.00,0,0,0,0
137,137,0,0.9849,-1.11,5.98,0,0,0.00,0.00,0,0,0,0
138,138,0,0.9810,-1.73,5.98,0,0,0.00,0.00,0,0,0,0
139,139,0,0.9821,-0.23,5.98,0,0,0.00,0.00,0,0,0,0
140,140,0,0.9844,-1.18,5.98,0,0,0.00,0.00,0,0,0,0
