frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
0,0,770.00,482.00,1114.00,790.00,detected,STATIONARY,0,blue_hsv_shape,-0.0404,0.2474,3.0369,2.8694,0.0404,0.3250,0.920,2.8694,0.0404,0.3250,2.8694,0.0404,0.3250,0.2828,0.2828,0.2236,1.000,
1,33,772.17,482.15,1115.57,791.35,detected,STATIONARY,0,blue_hsv_shape,-0.0365,0.2491,3.0307,2.8630,0.0365,0.3250,0.920,2.8623,0.0361,0.3250,2.8630,0.0365,0.3250,0.0871,0.0871,0.0847,0.983,0.0015
2,67,775.49,481.46,1119.17,793.45,detected,STATIONARY,0,blue_hsv_shape,-0.0320,0.2508,3.0245,2.8565,0.0320,0.3250,0.918,2.8513,0.0283,0.3250,2.8565,0.0320,0.3250,0.0678,0.0678,0.0651,0.828,0.0133
3,100,776.65,481.05,1120.51,794.33,detected,CONFIRMED,0,blue_hsv_shape,-0.0281,0.2522,3.0189,2.8507,0.0281,0.3250,0.918,2.8467,0.0255,0.3250,2.8507,0.0281,0.3250,0.0652,0.0652,0.0605,0.683,0.0027
4,133,777.11,480.91,1123.34,795.84,detected,CONFIRMED,0,blue_hsv_shape,-0.0239,0.2542,3.0117,2.8432,0.0239,0.3250,0.916,2.8389,0.0217,0.3250,2.8432,0.0239,0.3250,0.0650,0.0650,0.0600,0.544,0.0051
5,167,781.62,480.86,1127.04,797.64,detected,CONFIRMED,0,blue_hsv_shape,-0.0169,0.2565,3.0030,2.8343,0.0169,0.3250,0.914,2.8296,0.0126,0.3250,2.8343,0.0169,0.3250,0.0639,0.0639,0.0598,0.396,0.0133
6,200,786.18,480.86,1132.05,799.58,detected,CONFIRMED,0,blue_hsv_shape,-0.0079,0.2591,2.9935,2.8244,0.0079,0.3250,0.914,2.8196,0.0019,0.3250,2.8244,0.0079,0.3250,0.0619,0.0619,0.0589,0.262,0.0181
7,234,789.81,480.89,1139.71,801.60,detected,CONFIRMED,0,blue_hsv_shape,0.0029,0.2617,2.9835,2.8141,-0.0029,0.3250,0.912,2.8092,-0.0105,0.3250,2.8141,-0.0029,0.3250,0.0596,0.0596,0.0574,0.145,0.0235
8,267,791.32,480.86,1141.02,802.67,detected,CONFIRMED,0,blue_hsv_shape,0.0110,0.2640,2.9751,2.8054,-0.0110,0.3250,0.912,2.8038,-0.0136,0.3250,2.8054,-0.0110,0.3250,0.0573,0.0573,0.0557,0.114,0.0000
9,300,792.84,480.88,1141.35,804.12,detected,CONFIRMED,0,blue_hsv_shape,0.0170,0.2661,2.9672,2.7972,-0.0170,0.3250,0.910,2.7964,-0.0156,0.3250,2.7972,-0.0170,0.3250,0.0551,0.0551,0.0539,0.117,0.0027
10,334,793.60,480.95,1143.01,806.30,detected,CONFIRMED,0,blue_hsv_shape,0.0218,0.2685,2.9583,2.7880,-0.0218,0.3250,0.909,2.7854,-0.0182,0.3250,2.7880,-0.0218,0.3250,0.0531,0.0531,0.0522,0.119,0.0074
11,367,793.81,480.96,1144.66,808.00,detected,CONFIRMED,0,blue_hsv_shape,0.0257,0.2708,2.9496,2.7790,-0.0257,0.3250,0.908,2.7769,-0.0202,0.3250,2.7790,-0.0257,0.3250,0.0513,0.0513,0.0506,0.128,0.0076
12,400,793.70,481.02,1146.38,810.32,detected,CONFIRMED,0,blue_hsv_shape,0.0288,0.2734,2.9401,2.7692,-0.0288,0.3250,0.908,2.7653,-0.0219,0.3250,2.7692,-0.0288,0.3250,0.0496,0.0496,0.0492,0.132,0.0141
